Sample Number,Sample Time,Sample Type Code,Variable Name,VMV Code,Value,Unit Code,Detection Limit,Flag,Status
17PY005401,9/7/2016 15:10,1,Niobium Total,107923,0.018,UG/L,0.002,,U
17PY005401,9/7/2016 15:10,1,Titanium Total,107933,6.67,UG/L,0.05,,U
17PY005401,9/7/2016 15:10,1,Turbidity,2074,50,NTU,0.05,,U
17PY005532,3/1/2016 13:15,1,Boron Total,107907,7,UG/L,0.5,,U
17PY005532,3/1/2016 13:15,1,Fluoride Dissolved,201836,190,UG/L,0.01,,U
17PY005532,3/1/2016 13:15,1,Colour True,1963,14.2,CU,2.5,,U
17PY005341,6/23/2016 13:15,1,Lithium Total,107920,2.35,UG/L,0.01,,U
17PY005341,6/23/2016 13:15,1,pH,10301,8.01,PH,0.01,,U
17PY005705,7/21/2016 7:30,1,Phosphorus Total,15406,86.1,UG/L,0.0005,,U
17PY005390,8/19/2016 9:15,1,Phosphorus Total,15406,146,UG/L,0.0005,,U
07PY001379,8/27/2007 16:35,1,Lithium Total,97514,2.4,UG/L,0.2,,U
07PY001379,8/27/2007 16:35,1,Turbidity,2074,6.02,NTU,0.05,,U
07PY001443,9/9/2007 17:15,1,Lanthanum Total,97513,0.024,UG/L,0.001,,U
07PY001443,9/9/2007 17:15,1,Antimony Total,97522,0.079,UG/L,0.001,,U
08PY001439,9/16/2008 18:02,1,Boron Total,97501,4.1,UG/L,0.5,,U
08PY001439,9/16/2008 18:02,1,Nickel Total,97518,1.34,UG/L,0.02,,U
08PY001523,11/26/2008 13:55,1,Rubidium Total,97521,0.65,UG/L,0.01,,U
15PY005279,7/15/2014 10:20,1,Carbon Dissolved Inorganic,201144,17300,UG/L,0.5,,U
15PY005300,8/13/2014 15:30,1,Tungsten Total,107937,0.001,UG/L,0.001,L,U
15PY005692,4/20/2015 16:45,1,Phosphorus Total,15406,12,UG/L,0.0005,,U
15PY005891,2/24/2015 14:55,1,Nitrogen Total,1130,640,UG/L,0.02,,U
15PY005692,4/20/2015 16:45,1,Temperature (water),1125,0,DEG C,,,U
15PY005891,2/24/2015 14:55,1,Antimony Total,107929,0.075,UG/L,0.001,,U
15PY005891,2/24/2015 14:55,1,Lanthanum Total,107919,0.028,UG/L,0.001,,U
15PY005761,5/20/2015 15:00,1,Aluminum Total,107905,3080,UG/L,0.5,,U
15PY005761,5/20/2015 15:00,1,Boron Total,107907,6.5,UG/L,0.5,,U
15PY006094,9/19/2015 9:00,1,Bromide Dissolved,101535,20,UG/L,0.02,L,U
16PY005022,12/3/2015 10:30,1,Zinc Total,107939,1.5,UG/L,0.2,,U
17PY005401,9/7/2016 15:10,1,Specific Conductance,2041,187,USIE/CM,2,,U
17PY005548,4/20/2016 13:10,1,Lithium Total,107920,3.67,UG/L,0.01,,U
17PY005548,4/20/2016 13:10,1,pH,10301,7.92,PH,0.01,,U
17PY005321,5/19/2016 9:30,1,Beryllium Total,107909,0.078,UG/L,0.001,,U
17PY005341,6/23/2016 13:15,1,Fluoride Dissolved,201836,80,UG/L,0.01,,U
17PY005705,7/21/2016 7:30,1,Vanadium Total,107936,2.48,UG/L,0.01,,U
17PY005705,7/21/2016 7:30,1,Residue nonfilterable,10401,46000,UG/L,2,,U
17PY005390,8/19/2016 9:15,1,Carbon Dissolved Inorganic,201144,15500,UG/L,0.3,,U
17PY005390,8/19/2016 9:15,1,Barium Total,107908,97,UG/L,0.05,,U
17PY005900,3/24/2016 8:15,1,Nitrogen Total,1130,570,UG/L,0.02,,U
17PY006104,4/4/2017 9:00,1,Sodium dissolved/filtered,1178,4800,UG/L,0.1,,U
17PY006308,5/23/2017 3:05,1,Sodium dissolved/filtered,1178,600,UG/L,0.1,,U
17PY006331,6/27/2017 10:05,1,Zinc Total,107939,1.5,UG/L,0.2,,U
17PY006674,9/18/2017 9:35,1,Nickel Total,107924,3.63,UG/L,0.02,,U
17PY006674,9/18/2017 9:35,1,Rubidium Total,107928,1.1,UG/L,0.001,,U
17PY006674,9/18/2017 9:35,1,Carbon Dissolved Inorganic,201144,14200,UG/L,0.3,,U
17PY006674,9/18/2017 9:35,1,Phosphorus Total,15406,55.4,UG/L,0.0005,,U
18PY006249,7/24/2018 13:40,1,Turbidity,2074,56.4,NTU,0.05,,U
07PY001379,8/27/2007 16:35,1,Boron Total,97501,6,UG/L,0.5,,U
07PY001443,9/9/2007 17:15,1,Phosphorus Total,15406,5,UG/L,0.002,,U
07PY001469,12/2/2007 14:20,1,Lanthanum Total,97513,0.027,UG/L,0.001,,U
08PY001335,7/29/2008 20:15,1,Carbon Dissolved Inorganic,201144,19200,UG/L,0.5,,U
08PY001410,8/19/2008 17:10,1,Rubidium Total,97521,1.58,UG/L,0.01,,U
08PY001412,8/22/2008 14:58,1,Specific Conductance,2041,195,USIE/CM,2,,U
08PY001439,9/16/2008 18:02,1,Vanadium Total,97529,0.438,UG/L,0.005,,U
14PY006056,6/18/2014 14:18,1,Rubidium Total,107928,1.5,UG/L,0.001,,U
14PY006056,6/18/2014 14:18,1,Fluoride Dissolved,201836,80,UG/L,0.01,,U
15PY005692,4/20/2015 16:45,1,Nitrogen Total,1130,620,UG/L,0.02,,U
16PY005022,12/3/2015 10:30,1,Bromide Dissolved,101535,20,UG/L,0.02,L,U
15PY005678,3/30/2015 9:50,1,Rubidium Total,107928,1.94,UG/L,0.001,,U
15PY005903,6/23/2015 14:35,1,Cobalt Total,107913,0.424,UG/L,0.002,,U
16PY005022,12/3/2015 10:30,1,Tungsten Total,107937,0.002,UG/L,0.001,,U
