Sample Number,Sample Time,Sample Type Code,Variable Name,VMV Code,Value,Unit Code,Detection Limit,Flag,Status
17PY005593,10/10/2016 12:45,1,Nitrogen Total,1130,630,UG/L,0.02,,U
17PY005315,5/15/2016 10:50,1,pH,10301,7.82,PH,0.01,,U
17PY005817,8/12/2016 11:18,1,Nitrogen Total Dissolved,7657,230,UG/L,0.02,,U
17PY005851,2/14/2016 12:07,1,Cadmium Total,107911,0.083,UG/L,0.001,,U
17PY005315,5/15/2016 10:50,1,Cadmium Total,107911,0.076,UG/L,0.001,,U
17PY005888,3/13/2016 10:45,1,Chromium Total,107914,0.06,UG/L,0.01,,U
17PY005888,3/13/2016 10:45,1,Manganese Total,107921,4440,UG/L,0.05,,U
17PY005991,3/12/2017 12:22,1,Alkalinity Total CaCO3,10101,198000,UG/L,0.5,,U
17PY006329,6/18/2017 9:55,1,Carbon Total Inorganic,100531,14300,UG/L,0.3,,U
17PY006455,12/11/2016 0:00,1,Antimony Total,107929,0.061,UG/L,0.001,,U
17PY006455,12/11/2016 0:00,1,Arsenic Total,107906,0.23,UG/L,0.01,,U
17PY006530,7/16/2017 11:24,1,Chromium Total,107914,0.12,UG/L,0.02,,U
17PY006530,7/16/2017 11:24,1,Lead Total,107925,0.382,UG/L,0.005,,U
17PY006673,9/17/2017 10:31,1,Cadmium Total,107911,0.054,UG/L,0.001,,U
17PY006673,9/17/2017 10:31,1,Residue nonfilterable,1145,2000,UG/L,2,L,U
18PY005683,3/11/2018 10:15,1,Cobalt Total,107913,4.8,UG/L,0.002,,U
18PY005931,5/21/2018 10:35,1,Cadmium Total,107911,0.082,UG/L,0.001,,U
15PY005762,5/24/2015 11:52,1,Dissolved nitrogen nitrate,7315,29,UG/L,0.002,,U
15PY005762,5/24/2015 11:52,1,Hardness total,1205,74600,UG/L,0.4,,U
15PY005727,1/18/2015 11:10,1,Arsenic Total,107906,0.24,UG/L,0.01,,U
15PY005727,1/18/2015 11:10,1,Barium Total,107908,72.1,UG/L,0.05,,U
15PY005754,4/19/2015 11:30,1,Platinum Total,107927,0.001,UG/L,0.001,L,U
17PY005403,9/11/2016 10:40,1,pH,10301,8.11,PH,0.01,,U
17PY005543,4/17/2016 12:25,1,Selenium Total,107930,0.34,UG/L,0.01,,U
