Sample Number,Sample Time,Sample Type Code,Variable Name,VMV Code,Value,Unit Code,Detection Limit,Flag,Status
17PY006677,10/4/2017 12:20,1,Lanthanum Total,107919,0.08,UG/L,0.001,,U
17PY006677,10/4/2017 12:20,1,Phosphorus Total,15406,3.9,UG/L,0.0005,,U
18PY005052,9/18/2017 12:45,1,Nickel Total,107924,0.94,UG/L,0.02,,U
18PY005054,10/16/2017 14:35,1,Gallium Dissolved,107954,0.002,UG/L,0.001,,U
18PY005645,2/27/2018 14:50,1,Manganese Total,107921,12.7,UG/L,0.05,,U
18PY005645,2/27/2018 14:50,1,Temperature (water),1125,0,DEG C,-10,,U
18PY005684,3/14/2018 10:55,1,Uranium Dissolved,107971,2.04,UG/L,0.0005,,U
18PY005834,9/20/2016 13:45,1,Strontium Total,107932,193,UG/L,0.05,,U
18PY005929,4/30/2018 14:45,1,Aluminum Dissolved,107941,16.5,UG/L,0.5,,U
18PY005929,4/30/2018 14:45,1,Barium Dissolved,107944,49.9,UG/L,0.05,,U
18PY005930,5/14/2018 15:00,1,Gallium Total,107918,1.32,UG/L,0.001,,U
18PY005930,5/14/2018 15:00,1,Nickel Total,107924,13.2,UG/L,0.02,,U
18PY005930,5/14/2018 15:00,1,Platinum Dissolved,107963,0.001,UG/L,0.001,L,U
18PY005813,4/16/2018 14:50,1,Barium Dissolved,107944,58.4,UG/L,0.05,,U
18PY005813,4/16/2018 14:50,1,Niobium Total,107923,0.002,UG/L,0.002,,U
18PY006122,6/19/2018 12:41,1,Rubidium Total,107928,0.837,UG/L,0.001,,U
18PY006125,7/3/2018 14:45,1,Lanthanum Dissolved,107955,0.067,UG/L,0.001,,U
18PY006407,9/4/2018 13:00,1,Gallium Total,107918,0.008,UG/L,0.001,,U
19PY000042,10/3/2018 11:35,1,Barium Dissolved,107944,49.7,UG/L,0.05,,U
19PY000042,10/3/2018 11:35,1,Nickel Total,107924,0.7,UG/L,0.02,,U
19PY000042,10/3/2018 11:35,1,Rubidium Total,107928,0.788,UG/L,0.001,,U
19PY000117,10/22/2018 12:40,1,Strontium Dissolved,107968,247,UG/L,0.05,,U
19PY000125,11/5/2018 14:30,1,Strontium Dissolved,107968,285,UG/L,0.05,,U
19PY000137,11/20/2018 13:45,1,Carbon Total Inorganic,100531,28900,UG/L,0.3,,U
19PY000187,12/3/2018 14:15,1,Strontium Total,107932,277,UG/L,0.05,,U
19PY000187,12/3/2018 14:15,1,Uranium Total,107935,1.74,UG/L,0.0005,,U
